id,herbal_id,ringkasan,resep_rumahan,keamanan_praktis
452,452,Akar seledri liar pembilas ginjal dari asam urat.,Rebus akar.,Aman.
453,453,Getah bau bawang pengusir kembung dan parasit.,Gunakan sejumput di masakan (hing).,Aman.
454,454,Getah resin antiseptik dan penenang histeria.,Inhalasi uap.,Aman.
455,455,Getah karet ajaib pembunuh H. Pylori (bakteri maag).,Kunyah getah (mastic gum).,Aman.
456,456,Getah penyejuk radang tenggorokan (shiraz gum).,Larutkan di air.,Aman.
457,457,Resin wangi disinfektan ruang dan penenang spiritual.,Bakar sebagai dupa.,Aman luar.
458,458,"Getah merah darah naga, penutup luka instan seperti lem.",Teteskan getah ke luka.,Aman luar.
459,459,Kayu suci aromatik pengusir depresi dan serangga.,Bakar kayu/inhalasi.,Aman.
460,460,Minyak kayu cedar perangsang sirkulasi kulit kepala botak.,Campur minyak pijat.,Aman luar.
461,461,Minyak cemara pengecil varises dan ambeien bengkak.,Kompres topikal.,Aman luar.
462,462,Beri peluruh kencing dan pembersih saluran kemih.,Seduh buah juniper.,Jangan digunakan jika ginjal rusak parah.
463,463,Minyak fir pereda nyeri sendi dan radang pernapasan.,Inhalasi uap/gosok dada.,Aman luar.
464,464,Minyak spruce pelega stres kortisol tinggi.,Aromaterapi uap.,Aman luar.
465,465,Minyak pinus pembersih udara bakteri dan dahak.,Inhalasi difuser.,Aman luar.
466,466,"Minyak eukaliptus, andalan pereda hidung tersumbat.",Hirup uap panas atau oles.,Jangan ditelan murni (sangat beracun).
467,467,"Minyak tea tree, pembunuh jerawat dan jamur kulit ampuh.",Oleskan tepat pada jerawat.,Sangat beracun jika tertelan.
468,468,Minyak niaouli penangkal radang tenggorokan dan flu.,Inhalasi uap.,Aman luar.
469,469,"Madu dari nektar manuka, pembunuh bakteri super tangguh (MRSA).",Minum 1 sendok teh madu murni.,Sangat aman.
470,470,"Minyak daun kanuka, pereda lebam otot olahraga.",Pijat area lebam.,Aman luar.
471,471,"Daun wangi murad, pereda batuk bronkitis ringan.",Teh seduh daun.,Aman.
472,472,Daun bay (salam eropa) penurun gula darah dan wangi masakan.,Rebus di sup.,Aman.
473,473,Rempah gabungan rasa cengkeh-kayu manis untuk pencernaan.,Bumbu masakan.,Aman.
474,474,Biji lada melegueta peningkat metabolisme pembakar lemak.,Campur masakan pedas.,Aman.
475,475,Lada merah muda wangi floral penurun gas perut.,Tabur di makanan.,Aman.
476,476,Lada sichuan pedas kebas pembunuh parasit usus.,Bumbu kuah pedas.,Aman.
477,477,Lada jepang penambah nafsu makan dan penghangat perut.,Taburan masakan.,Aman.
478,478,Resin guggul andalan Ayurweda penurun kolesterol total.,Kapsul ekstrak.,Aman.
479,479,Herba bunga biru tonik otak untuk daya ingat.,Teh herbal.,Aman.
480,480,Akar wangi penenang stres berat tanpa bikin mengantuk lemas.,Teh akar/minyak aromaterapi.,Aman.
481,481,Akar pahit pembersih hati pelindung sel hepar.,Kapsul ekstrak.,Aman.
482,482,Herba peluruh cairan menumpuk pembengkakan tubuh.,Rebusan herba.,Aman.
483,483,Akar merah pencuci sistem limfatik dan darah kotor.,Teh rebus akar.,Aman (urin bisa memerah).
484,484,Kulit pohon pelindung jantung koroner dan darah tinggi.,Rebus kulit kayu.,Aman.
485,485,Kulit pohon Ashoka penyeimbang siklus rahim rahasia wanita.,Rebusan kulit pohon.,Aman.
486,486,Getah resin salai penekan radang lutut parah.,Ekstrak suplemen.,Aman.
487,487,Akar putih viagra India peningkat vitalitas dan mani.,Rebus akar dengan susu.,Aman.
488,488,Akar ubi kudzu India pembesar massa otot alami.,Serbuk akar.,Aman.
489,489,Cabai panjang lada India pelega dahak asma paru.,Tumbuk campur madu.,Aman.
490,490,Bunga sakral Mesir kuno untuk lucid dreaming dan relaksasi dalam.,Teh kelopak bunga biru.,Aman.
491,491,Air perasan batang tebu segar penyembuh sakit kuning ringan.,Minum air tebu segar.,Awas lonjakan gula tinggi.
492,492,"Buah beracun mematikan, digunakan murni untuk racun tikus/hama.",DILARANG MAKAN.,Sangat toksik mematikan kerja jantung.
493,493,Biji langka Nusantara obat disentri berdarah dan stamina.,Kunyah biji (sangat pahit).,Aman dosis sangat kecil.
494,494,Gulma lalapan wangi penyembuh radang lambung bengkak.,Sayur/lalapan mentah.,Aman.
495,495,"Sayuran rawa penyedot logam, pastikan dari air bersih untuk penambah nafsu makan.",Tumis genjer.,Awas toksik jika genjer tumbuh di air tercemar.
496,496,Jantung pisang pelancar ASI dan penekan kolesterol.,Sayur lodeh jantung pisang.,Aman.
497,497,Bunga pepaya pahit penambah selera makan dan anti-malaria.,Tumis bunga pepaya.,Aman.
498,498,"Daun kopi diseduh (Kawa Daun), tinggi antioksidan tanpa debar jantung.",Teh daun kopi.,Aman.
499,499,Daun duduk pereda nyeri wasir dan peluruh air kencing.,Rebus daun duduk.,Aman.
500,500,Daun bandotan (bau kambing) obat luar luka berdarah bernanah ampuh.,Tumbuk oles ke luka.,"Pemakaian luar aman, jangan ditelan karena merusak liver."
501,501,Rimpang wangi tajam yang sering dipakai dalam jamu untuk menenangkan saraf dan kembung.,Rebus sepotong kecil rimpang.,"Aman dosis kecil, awas toksik jika berlebihan."
502,502,Akar paku-pakuan andalan pria untuk stamina dan antioksidan.,Rebus akar kering.,Aman.
503,503,Kayu legendaris dari Sulawesi Selatan untuk keperkasaan pria.,Rendam kayu di air panas atau alkohol.,Aman.
504,504,Akar dan daun yang sangat terkenal untuk gurah (mengeluarkan lendir kotor pernapasan).,Rebus daun atau akar untuk diminum.,"Aman, terapi gurah hidung harus oleh ahlinya."
505,505,"Gulma merah kecil merayap, ampuh untuk obat disentri dan asma.",Rebus herba segar.,Aman.
506,506,Daun penghancur batu ginjal alami yang sangat kuat.,Rebus daun gempur batu.,Aman.
507,507,"Daun mirip payung 4 helai, mencegah keropos tulang bagi wanita.",Rebus dan jadikan pecel/sayur.,Aman.
508,508,Gulma asam penurun panas demam tinggi.,Rebus atau tumbuk untuk kompres.,Awas penderita batu ginjal karena tinggi oksalat.
509,509,"Herba bening merayap di pot berbiji kecil, manjur redakan asam urat.",Rebus seluruh tanaman bening ini.,Aman.
510,510,Sayuran berlendir penambah darah dan penyembuh luka lambung.,Sayur bening.,Aman.
511,511,Akar bayam liar berduri ini sangat bagus untuk melancarkan kencing dan ASI.,Rebus akar yang sudah dicuci.,Aman.
512,512,Tanaman pesisir penangkal racun dan penyembuh luka pesisir.,Tumbuk daun untuk obat luar.,Aman.
513,513,"Daun bergetah putih tebal, getahnya obat sakit gigi berlubang.","Teteskan getah ke kapas, masukkan ke gigi.",Getah sangat beracun jika tertelan dan membuat buta mata!
514,514,Daun pahit obat malaria dan kencing manis.,Rebus daun muda.,Aman.
515,515,"Daun peningkat nafsu makan, bijinya merah keras jangan dimakan.",Rebus daun segar.,Biji mentah sangat beracun.
516,516,"Pohon peneduh raksasa, bijinya (godhite) enak digoreng pencuci darah.",Sangrai biji matang.,Aman.
517,517,"Buah asam sebesar kelereng hitam, peluntur lemak perut.",Hisap buahnya.,Aman.
518,518,"Buah kesukaan putri keraton Jawa, membuat keringat dan nafas menjadi wangi.",Makan daging buah matang.,Aman.
519,519,"Buah rimbang kecil, penjaga kesehatan mata (tinggi vitamin A).",Jadikan lalap atau sambal.,Aman.
520,520,"Bunga terompet sangat beracun, hanya dipakai luar untuk asma (dihisap/bakar).",Jangan dibuat jamu minum.,SANGAT BERACUN. Membuat halusinasi gila dan kematian.
521,521,Rebusan daun kapas melancarkan persalinan lambat.,Rebus daun kapas.,Aman.
522,522,Kulit pohon kapuk randu untuk obat asma dan penurun panas.,Rebus kulit pohon.,Aman.
523,523,Daun penurun demam panas anak (dikompreskan ke dahi).,"Remas daun dadap serep dengan air, tempel ke dahi.",Aman luar.
524,524,Kulit pohon obat batuk berdahak dan rematik.,Rebus kulit pohon.,Aman.
525,525,Daun dan kulit pohonnya obat cacar air (cangkrang).,Rebus untuk mandi cacar air.,Aman.
526,526,Daun bentuk waru (hati) penyubur rambut dan pereda batuk.,Remas daun muda di air.,Aman.
527,527,Buah lontar (siwalan) pendingin tubuh dan obat ginjal.,Makan daging buah atau minum air legen.,Aman.
528,528,Rimpang wangi pencuci darah kotor nifas.,Rebus rimpang wangi.,Aman.
529,529,"Daun nila pewarna biru, air rebusannya untuk obat epilepsi (tradisional).",Rebus daun tarum.,Aman.
530,530,"Serai yang daunnya lebar wangi minyak telon, ampuh usir nyamuk.",Rebus untuk mandi atau olesan.,Aman luar.
531,531,"Buah srikaya obat disentri, bijinya racun kutu rambut.",Tumbuk biji untuk kutu (jangan kena mata).,"Aman (daging buah), Biji beracun."
532,532,Buah mulwo pengusir cacing usus.,Makan daging buah.,Aman.
533,533,"Jeruk mini hiasan, buahnya obat batuk parah.",Rebus buah kecilnya.,Aman.
534,534,"Buah nanas muda pelancar haid, nanas matang obat encok.",Jus nanas matang.,Nanas muda bisa memicu keguguran.
535,535,Kulit durian yang dibakar abunya mengobati sembelit dan kram perut.,Seduh abu kulit durian (tradisional).,Aman.
536,536,"Sayur hijau bersayap, kaya vitamin E untuk awet muda.",Rebus sayur kecipir.,Aman.
537,537,Sayur oyong penurun panas dalam dan pencuci darah.,Sayur bening oyong.,Aman.
538,538,Sayur blustru pelancar haid dan obat asma.,Rebus daun atau sayur buahnya.,Aman.
539,539,Umbi hutan pelancar BAB dan pengikat gula darah.,Harus diolah pabrik (Sangat gatal!).,Jangan makan mentah/rebus biasa (oksalat gatal).
540,540,"Tumbuhan parasit kuning tak berdaun, obat sakit kuning/liver.",Rebus tali putri.,Aman.
541,541,"Tebu ungu gelap, obat masuk angin dan jantung berdebar.",Rebus tebu hitam dengan jahe.,Aman.
542,542,Buah pelintir (kayu ules) wajib ada di jamu untuk perut kembung kolik.,Rebus buah ulir.,Aman.
543,543,Lumut kerak (kayu angin) obat sariawan dan masuk angin di jamu.,Rebus kayu angin.,Aman.
544,544,Biji polong hitam (seprantu) obat disentri dan jamu pegal.,Rebus biji keras.,Aman.
545,545,"Daun jungrahab obat pusing, kolik, dan mual di jamu racikan.",Rebus daun jungrahab.,Aman.
546,546,Lempuyang kecil sangat pahit penambah nafsu makan ekstrim.,Pari dan peras sarinya.,Aman.
547,547,"Biji melinjo penambah energi, daunnya penurun asam urat.",Sayur daun melinjo (bijinya awas asam urat).,Aman.
548,548,Minyak biji tamanu (nyamplung) penyembuh bekas jerawat dan keloid ajaib.,Oleskan minyak ke kulit luka.,Hanya untuk pemakaian luar.
549,549,"Daun ketepeng cina, obat panu dan kurap paling paten.","Tumbuk daun dengan kapur sirih, gosok ke panu.",Aman luar.
550,550,Rumput daun bambu mini penurun panas demam anak.,Rebus herba rumput bambu.,Aman.
551,551,"Daun parasit bulat menempel di pohon, obat batuk TBC berdarah.",Rebus daun sisik naga.,Aman.
552,552,Akar simbar darah pembeku luka berdarah bernanah.,Tumbuk akar untuk luka luar.,Aman.
553,553,Daun merah hanjuang obat disentri darah dan wasir.,Rebus daun andong.,Aman.
554,554,Bunga bulat ungu (kenop) pereda batuk sesak dan asma.,Seduh bunga kenop.,Aman.
555,555,Daun kembang bulan penurun gula darah diabetes tajam.,Rebus daun paitan.,Aman.
556,556,Bunga kembang merak obat diare dan kejang panas anak.,Rebus bunga dan daun.,Awas jangan konsumsi kulit kayu/biji (toksik).
557,557,Bunga merah jengger ayam penghentian pendarahan rahim.,Rebus bunga jengger ayam.,Aman.
558,558,Biji kesumba merah (pewarna makanan) pelindung lambung.,"Rendam biji, gunakan air merahnya.",Aman.
559,559,Buah lobi-lobi masam penurun darah tinggi.,Makan segar/rujak.,Aman (awas maag).
560,560,Buah sawo manis pelancar pencernaan dan diare (getahnya).,Makan buah matang.,Aman.
561,561,"Sawo kecil merah wangi keringat, penurun tensi darah.",Makan daging buah.,Aman.
562,562,Sawo duren/kenitu pereda radang selaput lendir tenggorokan.,Makan daging buah matang.,Aman.
563,563,Mangga wangi kuini serat tinggi penurun kolesterol.,Makan buah matang.,Aman.
564,564,Mangga kemang asam wangi untuk stamina lambung.,Makan segar.,Aman.
565,565,Mangga bacang bau tajam pencuci perut (getahnya gatal).,Cuci getah sebelum dimakan.,Getah sangat gatal di bibir.
566,566,Jeruk keprok kaya kalium penurun darah tinggi.,Makan buah segar.,Aman.
567,567,"Buah air pembersih ginjal, kulit putihnya obat sariawan.",Makan buah dan kulit putihnya.,Aman.
568,568,Melon pereda panas dalam dan penghidrasi ginjal.,Makan segar.,Aman.
569,569,Kacang tolo penguat tulang lansia.,Masak sebagai sayur.,Aman.
570,570,Kacang raksasa obat cacingan.,Harus direbus matang lama membuang racun.,Biji mentah beracun mual muntah.
571,571,"Buah ungu senggani obat diare, daunnya obat bisul.",Makan buah/rebus daun.,Aman.
572,572,Buah karamunting penambah Hb darah anemia.,Makan buah segar ungu gelap.,Aman.
573,573,Umbi gembili prebiotik pelancar pencernaan lambung.,Kukus umbi gembili.,Aman.
574,574,Umbi udara gembolo penyembuh maag kronis.,Kukus matang.,Aman.
575,575,Umbi ungu uwi penurun gula darah (glikemik rendah).,Kukus uwi ungu.,Aman.
576,576,Umbi gadung obat rematik dan kusta.,Hanya boleh diolah oleh ahlinya (racun sianida tinggi).,SANGAT BERACUN SIANIDA jika tidak dicuci dengan abu.
577,577,Bunga ungu kupu-kupu obat kelenjar tiroid bengkak (gondok).,Rebus akar dan daun.,Aman.
578,578,"Bunga kuning jam 8 pagi, obat reumatik linu sendi.",Rebus daun/akar.,Aman.
579,579,"Akar paku berbulu emas, obat nyeri encok pinggang bawah.",Rebus akar paku hata.,Aman.
580,580,Rumput bambu beruas (ekor kuda) peluruh batu ginjal kuat.,Rebus herba ekor kuda.,Aman.
581,581,Rebung bambu tali penurun darah tinggi dan kolesterol.,Sayur rebung rebus.,Aman.
582,582,Daun lalapan tespong penenang saraf dan penurun tensi.,Lalapan mentah.,Aman.
583,583,Selada air (watercress) pencuci darah perokok (paru-paru).,Jus atau rebus sebentar.,Aman.
584,584,Sawi putih penurun asam urat sendi.,Sayur bening.,Aman.
585,585,Kubis penyembuh borok lambung parah (jus kubis mentah).,Jus kubis mentah segar (rutin).,Aman (bisa bikin perut bergas).
586,586,Kacang bogor bulat protein nabati pereda lelah.,Rebus matang.,Aman.
587,587,Koro kratok pencegah osteoporosis.,Rebus dua kali buang airnya (cegah racun).,Mentah beracun (sianida ringan).
588,588,"Biji jali penurun panas dalam, pereda rematik, dan anti kanker rahim.",Rebus bubur jali.,"Aman (dilarang bagi ibu hamil, memicu kontraksi)."
589,589,"Biji jawawut kuning bubur burung, menyejukkan perut lambung.",Bubur jawawut.,Aman.
590,590,Ketan hitam antioksidan kuat penyubur rambut dan kulit.,Bubur ketan hitam.,Aman.
591,591,Jagung pulut ketan lengket pereda asam lambung.,Rebus jagung.,Aman.
592,592,Kelapa sawit merah kaya beta karoten untuk kesehatan mata.,Minyak kelapa sawit merah murni.,Aman.
593,593,Kentang hitam umbi kecil penangkal sel kanker.,Kukus kentang hitam.,Aman.
594,594,Daun singkong karet penambah darah dan anti-anemia.,Rebus matang (buang air pertama).,Sianida tinggi jika mentah.
595,595,"Buah maja (bael) keras pahit/manis, obat disentri paling ampuh.",Makan daging buah matang.,Aman.
596,596,Buah kawista (cola jawa) penurun panas dalam dan mual.,Jus buah kawista sirup.,Aman.
597,597,Buah kelengkeng penenang jantung debar dan susah tidur.,Makan segar/seduh air hangat.,Aman.
598,598,"Buah lici kaya vitamin C, bijinya obat nyeri buah zakar (hernia).",Rebus biji lici.,Aman.
599,599,Tepung sagu pelapis lambung anti-maag dan prebiotik.,Bubur sagu papeda.,Aman.
600,600,"Pohon gebang, akarnya obat diare, sagunya untuk energi usus.",Rebus akar.,Aman.
601,601,Daun wangi pengusir nyamuk yang kuat.,"Tanam di pot dekat jendela, gosok daun ke kulit.",Aman untuk pemakaian luar.
602,602,Kayu sangat pahit untuk obat malaria dan penambah darah.,Rebus kayu bidara laut.,"Toksik dosis tinggi, mengandung strychnine ringan."
603,603,Bunga wangi malam penurun demam malaria tradisional.,Rebus daun/bunga.,Aman.
604,604,Minyak bijinya menyuburkan rambut dan kulit kayu atasi eksim.,Oleskan minyak kesambi.,Aman luar.
605,605,Getah pinus endemik Sumatra untuk antiseptik luka.,Oleskan getah/resin ke luka.,Aman luar.
606,606,Daun dan kulit kayu pereda rematik dan pembengkakan.,Rebus untuk mandi.,Aman.
607,607,Biji lezat pencegah maag dan diare.,Rebus atau bakar biji gayam.,Aman.
608,608,"Buah asam untuk batuk, kulit kayu pereda sariawan.",Kunyah buah atau rebus kulit kayu.,Aman.
609,609,Getah ajaib yang langsung membekukan darah pada luka robek.,Teteskan getah ke luka.,Biji sangat beracun! Getah hanya untuk luar.
610,610,Daun lebar untuk mengobati stroke ringan dan hipertensi.,Rebus daun tua.,Aman dosis wajar.
611,611,Daun pereda gatal herpes dan bisul bernanah.,Tumbuk dan tempelkan ke kulit.,Beracun jika tertelan mentah.
612,612,"Benalu spesifik di pohon teh, pembunuh sel kanker.",Rebus daun benalu teh.,Aman.
613,613,Gulma sawah renyah untuk penambah darah dan nafsu makan.,Tumis/sayur gonda.,Aman jika air sawah tidak tercemar logam.
614,614,Daun kangkung liar obat bengkak dan rematik luar.,Tumbuk dan balur ke kaki.,Dilarang keras dimakan (Toksik saraf)!
615,615,Bayam liar tinggi zat besi untuk wanita hamil.,Sayur bening bayam kakap.,Aman.
616,616,Gulma merah penurun panas dan pelancar ASI.,Rebus kremak.,Aman.
617,617,Gulma pereda sakit kepala dan pegal linu.,Rebus herba jelantir.,Aman.
618,618,Bunga terompet kuning pelancar BAB ekstrim.,Rebus daun/getah (dosis sangat kecil).,Getah beracun mual muntah parah jika berlebih.
619,619,Daun dua warna obat batuk rejan dan mimisan.,Rebus daun nanas kerang.,Aman.
620,620,Tanaman kecil di tembok untuk obat ginjal bengkak.,Rebus herba lidah katak.,Aman.
621,621,Kayu langka bau bawang putih obat darah tinggi.,Rebus kulit kayu.,Aman.
622,622,Mangga hitam kecil wangi khas penguat imun.,Makan buah segar.,Aman.
623,623,Mangga asam manis pembuat sambal penyegar lambung.,Makan segar/sambal.,Aman.
624,624,Rimpang kecil obat pelangsing dan keputihan wanita.,Seduh rimpang kunci pepet.,Aman.
625,625,Lengkuas wangi penurun panu dan jamur kulit.,Parut dan gosok ke kulit.,Aman luar.
626,626,Sirih langka penyembuh diabetes dan kanker payudara.,Rebus 3 lembar daun sirih hitam.,Aman.
627,627,Tanaman hias pembersih racun udara (formaldehida/benzena).,Tanam di dalam ruangan.,Beracun jika dikunyah hewan peliharaan/anak.
628,628,"Kopi senna (biji) pengganti kopi, daunnya pencahar kuat.",Seduh daun glinggang.,Awas diare parah jika daun berlebihan.
629,629,Buah asam raksasa pencuci rambut dan obat sariawan.,Peras buah sempur.,Aman.
630,630,Minyak biji kemiri sunan untuk energi biodisel dan obat kurap.,Oles luar.,SANGAT BERACUN jika ditelan.
631,631,Kulit kayu suren untuk astringen diare dan disentri.,Rebus kulit kayu suren.,Aman.
632,632,Daun mindi obat hipertensi dan cacingan.,Rebus daun muda.,Biji mindi sangat beracun.
633,633,Umbi bunga bangkai untuk makanan diet diabetes (porang/konjak lokal).,Harus proses pabrik.,Sangat gatal beracun jika mentah (oksalat).
634,634,Cairan kantong semar penyembuh mata merah dan batuk.,Minum cairan kantong yang tertutup.,Aman cairan murninya.
635,635,Anggrek epifit obat kanker payudara dan jerawat.,Tumbuk herba anggrek.,Aman.
636,636,Lempuyang liar pembasmi cacing pita dan asma.,Rebus rimpang.,Aman.
637,637,Bunga asam penghilang bau amis ikan dan bau badan.,Iris untuk sambal/bumbu.,Aman.
638,638,Daun sirih merambat pembasmi pendarahan luka.,Tumbuk dan tempel daun.,Aman.
639,639,Bawang hijau kecil pelancar sirkulasi darah dingin.,Iris untuk campuran telur/sup.,Aman.
640,640,Buah pandan laut pengusir cacing dan penurun tensi.,Rebus buah atau akar.,Aman.
641,641,Stroberi hutan liar kaya vitamin c untuk sariawan.,Makan buah matang.,Aman.
642,642,Daun kawah gunung (cantigi) pereda pegal linu dan sayur segar.,Rebus daun pucuk cantigi.,Aman.
643,643,Kulit buah delima putih sangat ampuh hentikan keputihan berlebih.,Rebus kulit buah.,Aman.
644,644,Jambu wangi mawar penyembuh jantung berdebar.,Makan buah segar.,Aman.
645,645,Buah hijau keras pahit penurun darah tinggi tajam.,Rebus daging buah.,Awas toksik jika dimakan mentah banyak.
646,646,Getah benda penyembuh bisul dan borok parah.,Teteskan getah ke luka.,Aman luar.
647,647,"Buah mirip rambutan tanpa rambut, obat diabetes ringan.",Makan daging buah.,Aman.
648,648,Kulit kayu jabon obat demam dan stomatitis (sariawan).,Rebus kulit kayu.,Aman.
649,649,Kulit kayu jati putih obat pencuci darah.,Rebus kayu/daun.,Aman.
650,650,Daun teh hutan (puspa) antioksidan dan pewarna alami.,Seduh pucuk daun puspa.,Aman.
651,651,Kopi hitam kuat peningkat energi kerja jantung.,Seduh kopi murni.,Awas asam lambung.
652,652,Air akar rotan pereda malaria dan demam berdarah di hutan.,Minum air potongan rotan segar.,Aman.
653,653,Rebung bambu kuning obat penyakit kuning (liver) legendaris.,Rebus rebung dan daun bambu kuning.,Aman.
654,654,Air bambu betung penyembuh asma dan batuk rejan.,Tampung air ruas bambu.,Aman.
655,655,Rebusan daun bambu hitam penurun asam urat cepat.,Rebus daun bambu hitam.,Aman.
656,656,Biji pakis haji obat kusta tradisional (sangat berbahaya).,Hanya digunakan ahli.,SANGAT BERACUN (Cycasin memicu kanker/koma).
657,657,Biji melinjo liar energi tinggi karbohidrat.,Rebus biji.,Awas asam urat tinggi.
658,658,Daun kaktus tanpa duri penyembuh wasir dan panas dalam.,Jus daun kaktus centong.,Aman.
659,659,Daun miana merah pereda batuk anak dan wasir bengkak.,Rebus daun miana merah.,Aman.
660,660,"Tanaman hias bergetah iritan, tidak untuk dikonsumsi.",Tanaman hias murni.,Beracun jika dikunyah hewan peliharaan (oksalat).
661,661,"Getah sri rejeki pemicu gatal alergi parah, pembersih polusi udara.",Tanaman ruangan.,Sangat gatal jika terkena kulit luka/mulut.
662,662,"Daun tebal Anthurium murni untuk dekorasi, bukan herbal oral.",Tanaman hias.,Mengandung kristal kalsium oksalat pemicu bengkak tenggorokan.
663,663,Daun suplir pereda demam dan batuk (obat sirup Eropa lama).,Rebus daun suplir.,Aman.
664,664,Daun paku panjang untuk diuretik pencuci ginjal.,Rebus daun kadaka.,Aman.
665,665,Daun paku epifit obat demam dan penyubur rambut.,Tumbuk dan kompres.,Aman.
666,666,Daun merah menyala kastuba pemicu muntah dan peluruh haid.,Penggunaan dibatasi.,Beracun iritan getah putihnya.
667,667,Bunga kamboja jepang (Adenium) getahnya sangat mematikan jantung.,Jangan disentuh getahnya.,"SANGAT BERACUN, getah untuk racun panah Afrika."
668,668,Jamur kayu yang bisa dimakan untuk imun tubuh.,Tumis/rebus.,Aman.
669,669,"Jamur bulat menyerupai kentang di tanah, beracun pemicu diare.",Dilarang dimakan.,Beracun gastrointestinal.
670,670,"Jamur lezat yang mekar saat bulan purnama, energi protein tinggi.",Tumis matang.,Aman.
671,671,Serbuk kayu merah pereda radang jerawat dan masker wajah kulit mulus.,Masker serbuk kayu.,Aman luar.
672,672,"Kayu hitam legendaris, rebusannya untuk anti-diabetes (lokal).",Rebus kulit kayu/daun.,Aman.
673,673,"Kayu terkeras di dunia (Ulin), abunya untuk menghitamkan rambut.",Gunakan abu/minyak bijinya.,Aman luar.
674,674,"Kayu tahan rayap, getah/kulit pohonnya pencuci darah kotor.",Rebus kulit kayu merbau.,Aman.
675,675,Rumput pakan sapi untuk pereda panas dalam hewan dan manusia.,Rebus akar rumput.,Aman.
676,676,Rumput pakan bernutrisi kalsium tinggi.,Rebus untuk air minum kuda/sapi.,Aman.
677,677,Daun paku sarang burung obat pelancar persalinan dan rambut lebat.,Tumbuk dan balur ke perut/rambut.,Aman luar.
678,678,Bunga warna-warni penyembuh radang tenggorokan.,Rebus seluruh tanaman.,Aman.
679,679,Sambiloto merah penurun demam tipes dan gula darah super pahit.,Rebus daun.,Aman.
680,680,Paku cakar ayam obat kanker nasofaring dan radang paru.,Rebus herba cakar ayam.,Aman.
681,681,Kayu merah pereda pendarahan radang usus dalam.,Rebus kayu.,Aman.
682,682,Daun dengan bulu penyengat pereda nyeri sendi dan pegal (dipukulkan ke badan).,Pukulkan perlahan ke kulit pegal (Papua).,"Sangat perih dan gatal terbakar, namun menyembuhkan pegal instan."
683,683,Daun lembut pereda luka bakar dan bisul.,Tumbuk dan tempel.,Aman luar.
684,684,"Jelatang berdaun lebar pemicu gatal panas ekstrem, obat rematik luar.",Sabetkan ke area rematik.,"Gatalnya bisa bertahan berhari-hari, hati-hati."
685,685,Jelatang liar gatal untuk pereda radang sendi tradisional.,Sabetkan ke kulit.,Iritan kulit berat.
686,686,Kulit kayu obat sakit gigi dan penguat gusi.,Rebus dan kumur.,Aman.
687,687,Buah jambu liar asam pereda diare.,Makan buah/rebus daun.,Aman.
688,688,Buah jambu mini hutan penurun asam urat.,Makan buah.,Aman.
689,689,Jambu sekecil kancing asam manis pembersih ginjal.,Makan segar.,Aman.
690,690,Bunga wangi penyembuh malaria dan hipertensi.,Rebus bunga kenanga.,Aman.
691,691,Bunga merah kantil peluruh haid dan pewangi alami.,Rebus bunga.,Aman.
692,692,Bunga putih pembersih mata rabun dan tetes mata.,Rendam air bersih untuk cuci mata.,Aman.
693,693,Bunga mawar liar kaya vitamin c untuk nyeri sendi lutut.,Teh kelopak bunga/buah.,Aman.
694,694,Teratai warna merah penenang jantung berdebar.,Rebus kelopak merah.,Aman.
695,695,"Kecubung hitam sangat toksik halusinogen, obat asma luar.",Dilarang minum.,SANGAT BERACUN GILA HALUSINASI MATI.
696,696,Kecubung gantung gunung beracun anestesi kuat.,Jangan dikonsumsi.,SANGAT BERACUN GILA MATI KOMA.
697,697,Daun harum pengusir demam dan nyamuk.,Rebus daun.,Aman.
698,698,Bunga kertas putih pereda keputihan wanita.,Rebus bunga putih.,Aman.
699,699,Rumput pakan kaya silika penguat tulang retak.,Rebus rumput.,Aman.
700,700,Akar teki merah peluruh kencing batu ginjal.,Rebus umbi teki merah.,Aman.
901,701,"Gulma berbunga ungu yang bijinya meletus kena air, penyembuh kencing manis akut.",Rebus akar dan daun segar.,Aman.
902,702,"Bunga kecil yang jika dikunyah membuat lidah mati rasa, obat sakit gigi instan.",Kunyah bunga kuningnya langsung di area gigi yang sakit.,"Sangat kebas di mulut, jangan telan berlebihan."
903,703,Daun gulma penutup luka berdarah yang sangat cepat membekukan darah.,Tumbuk dan tempelkan ke luka.,Dilarang keras untuk diminum (toksik bagi liver).
904,704,Daun rambat penurun demam malaria dan obat luka gores.,Rebus daun muda.,"Aman luar, oral awas mual."
905,705,Bunga tahi ayam cantik namun daunnya sangat beracun bagi hati (liver).,Hanya untuk obat gosok rematik/keseleo.,SANGAT BERACUN jika diminum. Memicu kerusakan liver fatal (Lantadene).
906,706,Bunga oranye terang (marigold lokal) pengusir serangga dan penyembuh mata minus.,Seduh kelopak bunga sebagai teh.,Aman.
907,707,Tanaman hias dengan kelopak putih/pink pelega asma dan bronkitis.,Rebus daun/bunga.,Aman.
908,708,Bunga wangi cempaka kuning penyembuh demam dan keputihan wanita.,Rebus bunga kering.,Aman.
909,709,Melati bintang berdaun rimbun untuk penenang debar jantung.,Seduh bunga segar.,Aman.
910,710,Bunga hias jalan tol yang sangat mematikan jantung (Oleander).,DILARANG DISENTUH GETAHNYA.,SANGAT BERACUN! Satu helai daun bisa membunuh manusia (koma dan henti jantung).
